Team,Category,Value
ARI,W,4
ARI,L,13
ARI,T,0
ARI,PF,330
ARI,Rush_Yds,2365
ARI,Pass_Yds,3430
ARI,Sacks,42
ATL,W,7
ATL,L,10
ATL,T,0
ATL,PF,321
ATL,Rush_Yds,2159
ATL,Pass_Yds,3775
ATL,Sacks,40
BAL,W,13
BAL,L,4
BAL,T,0
BAL,PF,483
BAL,Rush_Yds,2661
BAL,Pass_Yds,3881
BAL,Sacks,41
BUF,W,11
BUF,L,6
BUF,T,0
BUF,PF,451
BUF,Rush_Yds,2212
BUF,Pass_Yds,4306
BUF,Sacks,24
CAR,W,2
CAR,L,15
CAR,T,0
CAR,PF,236
CAR,Rush_Yds,1769
CAR,Pass_Yds,3245
CAR,Sacks,65
CHI,W,7
CHI,L,10
CHI,T,0
CHI,PF,360
CHI,Rush_Yds,2399
CHI,Pass_Yds,3421
CHI,Sacks,50
CIN,W,9
CIN,L,8
CIN,T,0
CIN,PF,366
CIN,Rush_Yds,1527
CIN,Pass_Yds,4257
CIN,Sacks,50
CLE,W,11
CLE,L,6
CLE,T,0
CLE,PF,396
CLE,Rush_Yds,2017
CLE,Pass_Yds,4011
CLE,Sacks,45
DAL,W,12
DAL,L,5
DAL,T,0
DAL,PF,509
DAL,Rush_Yds,1920
DAL,Pass_Yds,4660
DAL,Sacks,40
DEN,W,8
DEN,L,9
DEN,T,0
DEN,PF,357
DEN,Rush_Yds,1810
DEN,Pass_Yds,3566
DEN,Sacks,52
DET,W,12
DET,L,5
DET,T,0
DET,PF,461
DET,Rush_Yds,2311
DET,Pass_Yds,4606
DET,Sacks,31
GB,W,9
GB,L,8
GB,T,0
GB,PF,383
GB,Rush_Yds,1905
GB,Pass_Yds,4210
GB,Sacks,30
HOU,W,10
HOU,L,7
HOU,T,0
HOU,PF,377
HOU,Rush_Yds,1647
HOU,Pass_Yds,4578
HOU,Sacks,47
IND,W,9
IND,L,8
IND,T,0
IND,PF,396
IND,Rush_Yds,2059
IND,Pass_Yds,3882
IND,Sacks,41
JAX,W,9
JAX,L,8
JAX,T,0
JAX,PF,377
JAX,Rush_Yds,1646
JAX,Pass_Yds,4377
JAX,Sacks,41
KC,W,11
KC,L,6
KC,T,0
KC,PF,371
KC,Rush_Yds,1784
KC,Pass_Yds,4383
KC,Sacks,28
LV,W,8
LV,L,9
LV,T,0
LV,PF,332
LV,Rush_Yds,1542
LV,Pass_Yds,3666
LV,Sacks,40
LAC,W,5
LAC,L,12
LAC,T,0
LAC,PF,346
LAC,Rush_Yds,1642
LAC,Pass_Yds,4312
LAC,Sacks,43
LAR,W,10
LAR,L,7
LAR,T,0
LAR,PF,404
LAR,Rush_Yds,2045
LAR,Pass_Yds,4300
LAR,Sacks,34
MIA,W,11
MIA,L,6
MIA,T,0
MIA,PF,496
MIA,Rush_Yds,2308
MIA,Pass_Yds,4698
MIA,Sacks,31
MIN,W,7
MIN,L,10
MIN,T,0
MIN,PF,344
MIN,Rush_Yds,1553
MIN,Pass_Yds,4700
MIN,Sacks,47
NE,W,4
NE,L,13
NE,T,0
NE,PF,236
NE,Rush_Yds,1627
NE,Pass_Yds,3392
NE,Sacks,48
NO,W,9
NO,L,8
NO,T,0
NO,PF,402
NO,Rush_Yds,1742
NO,Pass_Yds,4225
NO,Sacks,35
NYG,W,6
NYG,L,11
NYG,T,0
NYG,PF,266
NYG,Rush_Yds,1874
NYG,Pass_Yds,3351
NYG,Sacks,85
NYJ,W,7
NYJ,L,10
NYJ,T,0
NYJ,PF,268
NYJ,Rush_Yds,1647
NYJ,Pass_Yds,3373
NYJ,Sacks,64
PHI,W,11
PHI,L,6
PHI,T,0
PHI,PF,433
PHI,Rush_Yds,2190
PHI,Pass_Yds,4067
PHI,Sacks,39
PIT,W,10
PIT,L,7
PIT,T,0
PIT,PF,304
PIT,Rush_Yds,2010
PIT,Pass_Yds,3421
PIT,Sacks,36
SF,W,12
SF,L,5
SF,T,0
SF,PF,491
SF,Rush_Yds,2389
SF,Pass_Yds,4577
SF,Sacks,34
SEA,W,9
SEA,L,8
SEA,T,0
SEA,PF,364
SEA,Rush_Yds,1580
SEA,Pass_Yds,4167
SEA,Sacks,38
TB,W,9
TB,L,8
TB,T,0
TB,PF,348
TB,Rush_Yds,1509
TB,Pass_Yds,4044
TB,Sacks,40
TEN,W,6
TEN,L,11
TEN,T,0
TEN,PF,305
TEN,Rush_Yds,1846
TEN,Pass_Yds,3512
TEN,Sacks,64
WAS,W,4
WAS,L,13
WAS,T,0
WAS,PF,329
WAS,Rush_Yds,1592
WAS,Pass_Yds,4174
WAS,Sacks,65